regime,days,active_traders_mean,trades_mean,fills_mean,total_volume_usd_mean,pnl_per_trader_mean,pnl_per_trader_median,win_rate_mean,buy_volume_share_mean,buy_fill_share_mean,net_flow_usd_mean,p95_max_pos_mean
Fear,105,7.523809523809524,603.3238095238095,792.7333333333333,5693419.5355238095,2790.9388438997985,654.2268091728865,0.8369434765603806,0.5291892165403651,0.5099007758438799,83395.24123809522,910365.3003823571
Greed,307,3.824104234527687,242.52117263843647,294.12052117263846,1345432.11495114,2108.6873724371453,559.483881440516,0.8328381004940312,0.5000758073783406,0.4798589452399439,57311.61280130295,363006.04957197385
