frequency_segment,traders,total_net_pnl_mean,win_rate_mean,pnl_std_mean,max_dd_mean,avg_trades_per_day,median_max_pos
Frequent,8,461271.47858207533,0.851953044867401,46907.802229903646,-83849.26278009126,205.07660921548023,858611.8292375
Infrequent,8,120570.54285221519,0.8418615344023928,10883.533737880583,-26931.21582908125,17.68085760218113,58444.22363725
